"data","Somalia","jowhar","lughaye","zeylac","bossaso","dharkenley","daynile","gaalkacyo","hodan","belet_weyne","hawl_wadaag","kahda","marka","caynabo","laas_caanood","xudun","laasqoray","baki","borama","berbera","gebiley","hargeysa","owdweyne","xamar_weyne","garowe","cabdlcasiis","boondheere","karaan","shibis","shangaani","waaberi","wadajir","wardhiigleey","xamar_jabjab","yaaqshiid","afgooye","baidoa","diinsoor","baardheere","belet_xaawo","ceel_waaq","doolow","luuq","garbahaarey","afmadow","kismayo","burco","buuhoodle","sheikh","ceel_afweyn","ceerigaabo","qardho","burtinle","galdogob","hobyo","dhuusamarreeb","cabudwaaq","cadaado","wanla_weyn","xudur","ceel_barde","waajid"
"Average","80.05","51.71","90.42","84.6","42.4","59.85","88.08","65.62","69.51","65.93","77.52","92.51","100","97.75","58.83","83.78","68.87","99.75","81.7","90.1","69","68.08","96.78","46.57","61.48","32.22","25","70","25","44.57","41","64.63","79.09","100","43.5","77.91","86.2","99.75","62.25","88.12","92.33","80","65.54","86","88","79.81","93","95.25","99.38","93.25","58","31.83","35","69.4","46","16.7","56.75","86.6","98","98.33","100","100"
"Solid / finished house, building or apartment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Average","7.86","29.35","7.95","8.4","30.56","9.67","1.37","13.92","23.54","12.35","3.33","0.71","0","1.12","18.72","5.67","26.67","0.38","10.4","8.9","10.75","24.16","2.56","27.71","13.15","42.28","50","0","74.75","49.71","26.5","10.21","18.18","0","9","16.43","4.17","0","23","2.38","0","0","16","8.25","2.17","2.89","6.87","2.12","0.62","0.38","30.33","44.5","63.25","16","9","5.5","20","2.4","0.5","0","0","0"
"Unfinished / non-enclosed building","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Average","1.99","5.67","1.84","4.6","9.98","0.81","1.47","0.8","2.09","1.46","16.43","0.95","0","1.25","0","5.78","3.67","0","1.9","0.4","4.5","0.92","0","11.14","3.26","12.67","0","0","0","0","1.5","9.26","0","0","8.17","2.42","0.75","0","5","3","0","12.5","2.62","4","0.56","1.76","0","0.31","0","2.62","8.33","11.5","0.75","2.8","20.67","8.9","5.25","9","0.83","0","0","0"
"Make-shift shelter OR Tent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Average","6.92","8.26","0","1.6","4.19","11.63","7.27","16.45","4.61","14.71","2.38","4.49","0","0","22.5","2.56","0.13","0","3.5","0.4","12.5","6.36","0.56","4.71","15.26","8.11","25","30","0","5.86","28","10.95","1.36","0","18","0.87","6.99","0","4.75","3.38","8","5","6.77","2","6.78","7.91","0","2.69","0","2.5","0","7.5","1.25","2.6","28","4.5","4.75","2","0.17","1.67","0","0"
"None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Average","0.38","2.58","0","0","0.02","0.04","0.44","0","0.05","0.68","0","0.55","0","0.25","0","2.33","0","0","0","0.1","0","0.2","0","0","1.22","1.94","0","0","0","0","0","0.53","2.09","0","1.67","0.22","0.16","0","3.75","0","0","0","0.77","0.75","0","0","0","0","0","1.38","0.78","1.08","0","0","0","0","2.38","0","0.17","0","0","0"
"In the past 3 months, have fires occurred in this site?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"No","82.84","95.65","68.42","80","66.67","81.48","87.13","76.14","78.38","83.7","76.19","90.75","71.43","50","83.33","100","100","87.5","80","80","100","60","66.67","100","22.22","83.33","100","100","100","71.43","100","68.42","63.64","33.33","83.33","89.87","81.66","58.33","50","50","66.67","50","84.62","25","66.67","89.56","73.33","75","50","62.5","66.67","75","100","100","100","100","62.5","100","100","100","100","33.33"
"Yes","17.16","4.35","31.58","20","33.33","18.52","12.87","23.86","21.62","16.3","23.81","9.25","28.57","50","16.67","0","0","12.5","20","20","0","40","33.33","0","77.78","16.67","0","0","0","28.57","0","31.58","36.36","66.67","16.67","10.13","18.34","41.67","50","50","33.33","50","15.38","75","33.33","10.44","26.67","25","50","37.5","33.33","25","0","0","0","0","37.5","0","0","0","0","66.67"
"In the past 3 months, how many shelters have been destroyed by fires in this site?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Average","9.83","21","1.83","3","17.56","24.8","7.7","2.71","6.31","72.07","4.8","6.56","4.5","4.25","2.33",NA,NA,"2","3","1.5",NA,"8.8","1.33",NA,"6.9","3.67",NA,NA,NA,"1.5",NA,"22.83","3.75","4.5","2","5.12","8","16.8","2.5","4.25","20","10","2","12.67","21.17","6.26","1.5","4.25","1.75","2","1.67","3",NA,NA,NA,NA,"2",NA,NA,NA,NA,"3"
"In the past 12 months, has flooding occurred in this site?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"No","64.85","63.77","94.74","20","0","51.85","67.82","90.91","43.24","21.74","85.71","64.45","57.14","75","94.44","88.89","100","50","90","100","50","68","66.67","57.14","51.85","55.56","75","0","75","100","50","73.68","45.45","33.33","83.33","89.87","68.76","0","100","100","66.67","50","100","50","55.56","67.03","26.67","75","75","62.5","55.56","16.67","50","20","100","70","50","0","100","88.89","100","83.33"
"Yes","35.15","36.23","5.26","80","100","48.15","32.18","9.09","56.76","78.26","14.29","35.55","42.86","25","5.56","11.11","0","50","10","0","50","32","33.33","42.86","48.15","44.44","25","100","25","0","50","26.32","54.55","66.67","16.67","10.13","31.24","100","0","0","33.33","50","0","50","44.44","32.97","73.33","25","25","37.5","44.44","83.33","50","80","0","30","50","100","0","11.11","0","16.67"
"In the past 12 months, how many shelters have been destroyed by flooding in this site?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Average","31.05","27.36","10","34","70.4","34.54","26.79","53.75","28.1","66.4","13.67","14.24","6","17","23","2",NA,"43.75","10",NA,"9","76.5","14.17","342","8.85","9.38","11","52","2",NA,"17.17","43.8","10.5","13.5","20","117.88","15.2","6.5",NA,NA,"10","20",NA,"15","21.25","8.07","197.09","49","7.5","16.67","7.75","32.9","12.5","22.5",NA,"58","19.25","90",NA,"2",NA,"4"
"Is there any public lighting throughout the site?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"No","70.14","68.12","94.74","100","39.58","62.96","82.99","79.55","89.19","60.87","76.19","93.06","85.71","75","83.33","100","60","100","70","90","25","20","100","42.86","40.74","100","75","50","50","28.57","50","68.42","63.64","66.67","66.67","92.41","57.39","66.67","100","87.5","66.67","50","69.23","75","55.56","32.42","46.67","87.5","75","50","66.67","33.33","50","100","66.67","80","100","0","100","100","100","83.33"
"Yes","29.86","31.88","5.26","0","60.42","37.04","17.01","20.45","10.81","39.13","23.81","6.94","14.29","25","16.67","0","40","0","30","10","75","80","0","57.14","59.26","0","25","50","50","71.43","50","31.58","36.36","33.33","33.33","7.59","42.61","33.33","0","12.5","33.33","50","30.77","25","44.44","67.58","53.33","12.5","25","50","33.33","66.67","50","0","33.33","20","0","100","0","0","0","16.67"
"Within or around this site, is there access to a market where Non-Food Items and/or construction materials can be purchased?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yes","57.23","26.09","36.84","0","64.58","92.59","61.38","14.77","50","27.17","90.48","43.35","28.57","75","11.11","22.22","0","0","50","50","100","28","33.33","100","29.63","38.89","75","50","50","85.71","75","73.68","72.73","66.67","83.33","31.65","86.59","91.67","75","25","100","50","38.46","25","77.78","59.34","13.33","25","62.5","100","33.33","25","0","100","33.33","20","25","0","16.67","100","100","100"
"No","42.77","73.91","63.16","100","35.42","7.41","38.62","85.23","50","72.83","9.52","56.65","71.43","25","88.89","77.78","100","100","50","50","0","72","66.67","0","70.37","61.11","25","50","50","14.29","25","26.32","27.27","33.33","16.67","68.35","13.41","8.33","25","75","0","50","61.54","75","22.22","40.66","86.67","75","37.5","0","66.67","75","100","0","66.67","80","75","100","83.33","0","0","0"
"Which of these items are available for purchase at the market(s)?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Medicines","62","28","86",NA,"45","72","67","31","68","72","89","68","100","67","100","50",NA,NA,"100","100","50","14","50","100","62","86","100","0","100","67","56","57","88","100","100","64","56","27","33","0","67","0","80","0","86","69","100","75","80","75","33","100",NA,"40","100","50","0",NA,"100","0","100","100"
"Hygienic menstruation materials","51","28","57",NA,"48","56","66","8","59","80","68","58","50","0","0","100",NA,NA,"100","100","0","29","50","86","12","43","100","0","100","67","56","64","88","100","100","52","41","9","33","0","67","0","0","0","29","52","100","75","40","12","0","33",NA,"20","0","100","100",NA,"100","0","100","83"
"Local construction materials","53","17","86",NA,"19","76","66","54","57","64","84","63","50","17","100","100",NA,NA,"100","100","0","57","50","100","0","43","100","100","100","83","44","29","88","50","100","80","44","0","0","0","33","0","0","0","21","48","100","75","60","62","67","33",NA,"100","0","100","0",NA,"100","0","75","33"
"Clothes","68","22","100",NA,"29","80","66","15","46","64","79","61","50","83","100","50",NA,NA,"100","100","50","29","67","86","12","29","67","100","100","100","33","36","75","100","100","72","74","82","100","100","100","100","40","0","50","83","100","75","80","100","67","100",NA,"100","100","100","100",NA,"0","100","75","17"
"Sleeping mats","46","6","86",NA,"10","56","36","69","30","60","58","35","0","0","50","50",NA,NA,"40","100","0","29","50","57","0","29","67","0","50","50","22","43","62","50","100","48","55","55","100","0","100","100","20","100","43","60","50","75","40","0","67","0",NA,"80","0","50","100",NA,"0","0","50","33"
"Plastic sheets","51","50","100",NA,"26","28","48","46","27","80","47","46","100","50","100","50",NA,NA,"100","100","75","71","50","57","0","29","67","0","50","50","56","50","62","50","80","44","55","18","100","50","67","100","0","0","29","56","100","75","100","100","67","33",NA,"60","0","100","50",NA,"0","0","50","17"
"Blankets","41","11","100",NA,"6","28","37","15","24","64","68","36","50","17","100","50",NA,NA,"100","100","25","14","50","57","25","29","67","0","50","50","22","43","50","50","80","36","43","45","67","0","100","100","0","0","21","56","50","75","100","88","67","100",NA,"100","0","100","0",NA,"0","0","25","17"
"Jerry cans or buckets","49","39","86",NA,"16","8","42","54","51","68","74","37","50","33","100","50",NA,NA,"100","100","100","71","33","43","25","57","33","0","50","50","11","57","50","50","100","44","55","55","67","100","100","100","20","100","21","53","100","75","100","100","67","100",NA,"40","100","50","100",NA,"0","0","25","17"
"Wash basins","44","22","86",NA,"19","20","44","8","54","64","58","33","0","33","100","50",NA,NA,"100","100","25","57","33","57","0","57","33","0","0","33","11","43","50","50","100","24","47","45","33","50","100","100","0","100","14","66","50","75","80","75","67","67",NA,"40","0","100","100",NA,"0","0","25","17"
"Cooking utensils","46","28","86",NA,"23","28","51","23","54","52","68","30","0","50","50","50",NA,NA,"100","100","25","14","50","43","12","43","33","0","0","50","22","50","50","50","100","12","46","82","33","50","100","0","40","0","0","69","50","75","80","88","67","33",NA,"40","0","100","100",NA,"0","11","50","0"
"Soap","56","44","100",NA,"74","20","56","23","51","64","63","34","0","100","100","100",NA,NA,"100","100","75","57","50","29","0","57","33","100","0","33","22","36","50","50","100","16","65","91","33","0","67","100","100","100","43","69","100","100","60","100","100","67",NA,"0","0","100","100",NA,"0","0","50","0"
"Mosquito nets","37","33","14",NA,"13","12","37","0","35","24","63","23","0","67","0","50",NA,NA,"20","100","25","29","33","14","0","57","33","100","0","17","0","36","50","50","80","12","41","36","33","50","100","100","0","100","21","56","100","75","40","88","33","33",NA,"40","0","100","100",NA,"0","0","50","0"
"Solar lamp","14","39","0",NA,"3","8","21","0","22","4","37","5","0","0","50","0",NA,NA,"0","100","0","0","0","0","0","14","33","0","0","0","0","21","38","0","40","4","11","9","0","0","0","0","0","0","0","23","0","50","60","50","0","33",NA,"0","0","50","0",NA,"0","0","0","0"
"None","2","0","0",NA,"0","0","3","8","0","4","0","8","0","0","0","0",NA,NA,"0","0","0","0","0","0","25","14","0","0","0","0","33","0","12","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0"
"How long does it take for MOST residents of the site to WALK to the nearest market where Non-Food Items and/or construction materials can be purchased (TRAVEL ONE WAY)?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Between 15 and 30 minutes","31.49","17.65","28.57",NA,"22.58","16","38.2","0","37.84","34.78","36.84","36","50","16.67","50","50",NA,NA,"40","0","25","28.57","40","42.86","12.5","0","33.33","0","0","16.67","11.11","50","37.5","50","60","54.17","23.03","9.09","0","0","0","100","0","0","50","52.83","0","0","20","0","33.33","66.67",NA,"0","100","50","50",NA,"100","100","25","83.33"
"Less than 15 minutes","25","41.18","42.86",NA,"38.71","68","23.6","15.38","35.14","8.7","42.11","28","0","16.67","50","0",NA,NA,"0","0","50","42.86","40","28.57","87.5","42.86","33.33","100","100","50","66.67","42.86","25","50","40","8.33","19.69","18.18","0","100","0","0","80","0","7.14","21.7","50","25","40","37.5","66.67","33.33",NA,"0","0","0","0",NA,"0","0","0","0"
"Between 30minutes and one hour","19.62","23.53","0",NA,"16.13","0","12.73","61.54","16.22","39.13","10.53","18","50","33.33","0","50",NA,NA,"40","20","25","28.57","20","0","0","28.57","0","0","0","16.67","0","0","25","0","0","4.17","27.95","36.36","66.67","0","33.33","0","0","0","14.29","13.21","0","50","0","0","0","0",NA,"40","0","0","0",NA,"0","0","0","0"
"NC","18.72","17.65","14.29",NA,"16.13","16","20.6","15.38","10.81","13.04","10.53","16.67","0","33.33","0","0",NA,NA,"20","0","0","0","0","28.57","0","14.29","33.33","0","0","16.67","22.22","0","12.5","0","0","33.33","22.24","36.36","33.33","0","66.67","0","20","100","0","11.32","0","0","40","12.5","0","0",NA,"60","0","50","50",NA,"0","0","50","16.67"
